file_id,filename,filepath,Start_Time,End_Time,Start_Time_Converted,End_Time_Converted,Start_DateTime,End_DateTime
20055384385903,20055384385903-r7217787-n685852.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0020/20055384385903-r7217787-n685852.csv,1628592554.0,1628609088.612,2021-08-10 10:49:14.000000000,2021-08-10 15:24:48.611999989,2021-08-10 10:49:14.000000000,2021-08-10 15:24:48.611999989
42371679622969,42371679622969-r1682297-n851693.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r1682297-n851693.csv,1628599099.8,1628600063.327,2021-08-10 12:38:19.799999952,2021-08-10 12:54:23.326999903,2021-08-10 12:38:19.799999952,2021-08-10 12:54:23.326999903
42371679622969,42371679622969-r3041626-n851693.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r3041626-n851693.csv,1628599099.9,1628600063.396,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.395999908,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.395999908
42371679622969,42371679622969-r2582019-n911952.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r2582019-n911952.csv,1628599099.9,1628600063.3,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.299999952,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.299999952
42371679622969,42371679622969-r7343737-n830961.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r7343737-n830961.csv,1628599099.9,1628600063.446,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.446000099,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.446000099
42371679622969,42371679622969-r9175025-n386398.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r9175025-n386398.csv,1628599099.9,1628600063.321,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.321000099,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.321000099
42371679622969,42371679622969-r8642123-n851693.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r8642123-n851693.csv,1628599099.9,1628600063.323,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.322999954,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.322999954
42371679622969,42371679622969-r8333645-n851693.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r8333645-n851693.csv,1628599099.9,1628600063.457,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.457000017,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.457000017
42371679622969,42371679622969-r5715171-n139058.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r5715171-n139058.csv,1628599099.9,1628600063.31,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.309999943,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.309999943
42371679622969,42371679622969-r9352821-n851693.csv,D:/MITSUPERCLOUD_DATA/Data_folders/0002/42371679622969-r9352821-n851693.csv,1628599099.9,1628600063.433,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.433000088,2021-08-10 12:38:19.900000095,2021-08-10 12:54:23.433000088
