timestamp_main,normal_time,P_gpu_W,t_seconds
1628599090.4,2021-08-10 12:38:10.400000095,107.34,9.4
1628599090.5,2021-08-10 12:38:10.500000000,107.36,9.5
1628599090.6,2021-08-10 12:38:10.599999905,107.54,9.600000000000001
1628599090.7,2021-08-10 12:38:10.700000048,107.54,9.700000000000001
1628599090.8,2021-08-10 12:38:10.799999952,107.18,9.8
1628599090.9,2021-08-10 12:38:10.900000095,107.34,9.9
1628599091.0,2021-08-10 12:38:11.000000000,107.54,10.0
1628599091.1,2021-08-10 12:38:11.099999905,107.36,10.100000000000001
1628599091.2,2021-08-10 12:38:11.200000048,107.76,10.200000000000001
1628599091.4,2021-08-10 12:38:11.400000095,107.56,10.3
1628599091.5,2021-08-10 12:38:11.500000000,107.56,10.4
1628599091.6,2021-08-10 12:38:11.599999905,107.36,10.5
1628599091.7,2021-08-10 12:38:11.700000048,107.58,10.600000000000001
1628599091.8,2021-08-10 12:38:11.799999952,107.16,10.700000000000001
1628599091.9,2021-08-10 12:38:11.900000095,107.52,10.8
1628599092.0,2021-08-10 12:38:12.000000000,107.18,10.9
1628599092.1,2021-08-10 12:38:12.099999905,107.56,11.0
1628599092.2,2021-08-10 12:38:12.200000048,107.2,11.100000000000001
1628599092.3,2021-08-10 12:38:12.299999952,107.38,11.200000000000001
1628599092.4,2021-08-10 12:38:12.400000095,107.18,11.3
1628599092.5,2021-08-10 12:38:12.500000000,107.38,11.4
1628599092.6,2021-08-10 12:38:12.599999905,107.6,11.5
1628599092.8,2021-08-10 12:38:12.799999952,107.56,11.600000000000001
1628599092.9,2021-08-10 12:38:12.900000095,107.6,11.700000000000001
1628599093.0,2021-08-10 12:38:13.000000000,107.6,11.8
1628599093.1,2021-08-10 12:38:13.099999905,107.4,11.9
1628599093.2,2021-08-10 12:38:13.200000048,107.58,12.0
1628599093.3,2021-08-10 12:38:13.299999952,107.4,12.100000000000001
1628599093.4,2021-08-10 12:38:13.400000095,107.4,12.200000000000001
1628599093.5,2021-08-10 12:38:13.500000000,107.4,12.3
1628599093.6,2021-08-10 12:38:13.599999905,107.36,12.4
1628599093.7,2021-08-10 12:38:13.700000048,107.6,12.5
1628599093.8,2021-08-10 12:38:13.799999952,107.58,12.600000000000001
1628599094.0,2021-08-10 12:38:14.000000000,107.4,12.700000000000001
1628599094.1,2021-08-10 12:38:14.099999905,107.4,12.8
1628599094.2,2021-08-10 12:38:14.200000048,107.2,12.9
